p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
TIFA	7.34595302339106e-11	0.666666666666667	2.11547721741994	0.333	0	1.48505786320874e-06
FKBP4	1.15189893563299e-08	0.662666666666667	2.00444590503119	0.333	0.008	0.000232867888827566
WASF3	1.95081622249182e-08	0.625	1.8073549220576	0.25	0	0.000394377007538947
GABBR1	1.95081622249182e-08	0.625	1.8073549220576	0.25	0	0.000394377007538947
NCOR2	3.60053707579844e-07	0.726666666666667	2.29705342624833	0.5	0.056	0.00727884575243413
PRRC2C	4.84614551701102e-07	0.881333333333333	2.12653240592893	0.917	0.336	0.00979696777718947
LOC107134468	7.39442946719392e-07	0.926	3.08584058826667	1	0.872	0.0149485786108792
ADGRE1	2.15329220032454e-06	0.621333333333333	2.00444590503119	0.25	0.008	0.0435309551217608
PRDM4	2.15329220032454e-06	0.621333333333333	2.00444590503119	0.25	0.008	0.0435309551217608
IRF8	2.29928319078452e-06	0.621	1.69632360966886	0.25	0.008	0.0464823089848999
NOL8	2.29928319078452e-06	0.621	1.69632360966886	0.25	0.008	0.0464823089848999
LCP2	2.29928319078452e-06	0.621	1.69632360966886	0.25	0.008	0.0464823089848999
SLC9A9	2.4819126642496e-06	0.657666666666667	2.46224938328478	0.333	0.024	0.05017434642047
mikado.WCK01-AAH20201022-F8-rsc00060G101	4.03725801771906e-06	0.0973333333333333	-2.9170385509846	0.417	0.928	0.0816172080862085
HSD17B11	1.50894827785814e-05	0.123333333333333	-2.08584812287156	0.583	0.936	0.305048983851802
mikado.WCK01-AAH20201022-F8-rsc00038G1088	1.75607025509272e-05	0.684666666666667	2.70379873023101	0.417	0.056	0.355007162769544
VAV3	1.93521320070225e-05	0.652333333333333	2.45317262816561	0.333	0.032	0.391222700653966
ATP5IF1	2.00868445165464e-05	0.652	1.96869588008199	0.333	0.032	0.406075648746502
CCL4L2;CCL4L1;CCL4	2.01846483019165e-05	0.652	2.09953567355091	0.333	0.032	0.408052850071543
NFKB1	2.83129747548789e-05	0.71	2.43086246644053	0.5	0.088	0.572375097644631
LOC114078893	3.18305792777502e-05	0.618666666666667	3.8991132450168	0.25	0.016	0.643486990678998
mikado.WCK01-AAH20201022-F8-rsc00138G153	3.53282213767962e-05	0.684333333333333	2.2249036404925	0.417	0.064	0.714195323353312
EGR1	3.70390013931584e-05	0.617666666666667	1.90135241206709	0.25	0.016	0.748780452164091
KLF7	3.70390013931584e-05	0.617666666666667	1.90135241206709	0.25	0.016	0.748780452164091
ANK2	4.10796558523596e-05	0.617	1.59323011670476	0.25	0.016	0.830466322711301
KLF13-1	4.10796558523596e-05	0.617	1.59323011670476	0.25	0.016	0.830466322711301
STARD4	4.10796558523596e-05	0.617	1.59323011670476	0.25	0.016	0.830466322711301
RGS12	4.10796558523596e-05	0.617	1.59323011670476	0.25	0.016	0.830466322711301
FAR1	4.10796558523596e-05	0.617	1.59323011670476	0.25	0.016	0.830466322711301
NPRL2	4.10796558523596e-05	0.617	1.59323011670476	0.25	0.016	0.830466322711301
KDM4B	4.10796558523596e-05	0.617	1.59323011670476	0.25	0.016	0.830466322711301
HYPK	4.10796558523596e-05	0.617	1.59323011670476	0.25	0.016	0.830466322711301
CYTH1	4.10796558523596e-05	0.617	1.59323011670476	0.25	0.016	0.830466322711301
NCAPH2	4.10796558523596e-05	0.617	1.59323011670476	0.25	0.016	0.830466322711301
BAZ1A	5.37535998177674e-05	0.68	1.99018093896955	0.417	0.064	1
LOC114082496	5.63760461264003e-05	0.148	-1.30485458152842	0.917	0.992	1
MRS2	8.21455843560591e-05	0.648333333333333	1.88380698249548	0.333	0.04	1
mikado.WCK01-AAH20201022-F8-rsc00083G981	8.9358499388091e-05	0.774666666666667	1.24297675349254	0.833	0.24	1
ARG1	9.08761768030242e-05	0.158333333333333	-1.67277646233364	0.833	0.936	1
HSPH1	9.57888374829814e-05	0.647	2.08091999538357	0.333	0.04	1
C8G	0.000113190474717232	0.168333333333333	-1.75451027767684	0.333	0.92	1
RSRC2	0.00011607810494476	0.698	1.44745897697122	0.5	0.096	1
TTBK2	0.000116775992113971	0.702666666666667	1.80109593158592	0.5	0.104	1
LOC107139912	0.000137987394041447	0.168666666666667	-1.61418936664753	0.583	0.952	1
CD36	0.000155482606516375	0.180666666666667	-2.48413813120167	0.167	0.736	1
DDX5	0.000161279402331366	0.175666666666667	-2.40808473863708	0.25	0.776	1
UBE2G2	0.000178628213311487	0.701333333333333	1.80109593158592	0.5	0.112	1
NRG1	0.000203253540420063	0.615666666666667	3.48590382999849	0.25	0.024	1
RAC1	0.000210166670987454	0.670666666666667	1.52123690311077	0.417	0.072	1
STK10	0.000228300530801167	0.675	1.92459259734198	0.417	0.08	1
APOC3	0.000228874321085509	0.181	-1.99489912830713	0.417	0.888	1
TAF7	0.000250351902146462	0.614	1.80513709680779	0.25	0.024	1
ARHGEF2	0.000250351902146462	0.614	1.80513709680779	0.25	0.024	1
NPL	0.000250351902146462	0.614	1.80513709680779	0.25	0.024	1
HSPA6	0.000250884010643829	0.614	2.90689059560852	0.25	0.024	1
EEFSEC	0.000256270544865893	0.644666666666667	2.74573580379394	0.333	0.048	1
LY75;LY75-CD302	0.000260487615472043	0.19	-2.22474592110942	0.25	0.744	1
SEMA6A	0.000272727630253664	0.613333333333333	1.88380698249548	0.25	0.024	1
SERPINE1	0.000272763414067475	0.613333333333333	2.1310434748094	0.25	0.024	1
TACC1	0.000284139500074151	0.613	1.71493928783621	0.25	0.024	1
TNKS1BP1	0.000284510463660313	0.613	1.49701480144545	0.25	0.024	1
