p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
3.37054979674569e-28	0.914480180561433	1.78504516748298	1	0.863	6.81390346910108e-24
4.86423557604535e-11	0.305966991112992	-2.31982372583615	0.115	0.49	9.83353864053329e-07
2.40417004210979e-10	0.272570179150797	-1.39597216104414	0.446	0.775	4.86027015712915e-06
2.53841256292292e-10	0.661870503597122	2.94310506499698	0.324	0	5.13165483720498e-06
7.10190023737073e-10	0.271124277048949	-1.25509739960915	0.619	0.922	1.43572015198687e-05
3.26760549934782e-09	0.674636761179292	2.17186977150659	0.417	0.078	6.60579127748154e-05
4.26472131450942e-09	0.345817463676118	-1.96751040546347	0.072	0.373	8.62156060941225e-05
6.91802428828655e-09	0.332134292565947	-1.71993862461192	0.122	0.451	0.000139854779012001
8.7766808890623e-09	0.698229651572859	1.40702080106697	0.604	0.255	0.000177429380853283
1.54921798009623e-08	0.30244040062068	-1.27380244341674	0.345	0.676	0.000313189906856254
1.74919059623501e-08	0.685674989420229	3.18612774682294	0.511	0.206	0.00035361637093487
2.29434696536669e-08	0.317040485258852	-1.75775526171661	0.252	0.569	0.00046382518251853
4.92782672958658e-08	0.641028353787558	2.89126173185248	0.309	0.029	0.000996209451653222
5.78863700958798e-08	0.703025814642404	0.987014806014676	0.892	0.784	0.00117023085785831
7.2641091549101e-08	0.326421215968402	-1.82375119731847	0.23	0.539	0.00146851230675663
7.29142173375751e-08	0.381965016222316	-1.82641969290187	0.029	0.265	0.00147403381769642
7.78120049862806e-08	0.319015375934546	-1.49060150946493	0.295	0.618	0.00157304749280265
8.33106096352719e-08	0.337953166878262	-1.43662292599358	0.165	0.471	0.00168420728438666
9.94655206719149e-08	0.631259698123854	2.00860933232656	0.281	0.02	0.00201079496590343
2.96828605648727e-07	0.373924389899845	-1.48995499201691	0.065	0.314	0.00600068709179466
3.35980912071564e-07	0.369480885879532	-1.55992871110367	0.079	0.333	0.00679219011843874
3.6905220243702e-07	0.320108618987163	-1.50143629703026	0.417	0.647	0.00746075932446681
4.81252163256738e-07	0.315065594583157	-1.0327436742316	0.54	0.794	0.00972899373239822
4.91883165955613e-07	0.652454506982649	2.34024656305466	0.41	0.137	0.00994391008295868
5.57837305475841e-07	0.367858654253068	-1.45682073914375	0.094	0.353	0.0112772389674996
5.88775643564333e-07	0.655734236140499	3.05585282671785	0.432	0.167	0.0119026884102966
6.53299971504678e-07	0.361263930032445	-1.74693655247591	0.122	0.382	0.0132071122239386
1.4742539079045e-06	0.386267456622937	-1.54564892277126	0.058	0.284	0.0298035170021974
1.67117290766477e-06	0.384363097757088	-1.72013347544363	0.065	0.294	0.033784431501351
1.74612942741837e-06	0.364085202426294	-1.28020327467296	0.137	0.402	0.0352997525046899
2.08132840501399e-06	0.3499083086472	-1.04364690480486	0.216	0.51	0.0420761350357628
2.37921101101279e-06	0.359112709832134	-1.50320032710966	0.173	0.431	0.0480981297986345
2.79046529136694e-06	0.615672168147835	2.54567081472501	0.266	0.039	0.056412046330274
3.43898335925724e-06	0.375370292001693	-1.41206167442289	0.108	0.353	0.0695224875907443
3.60100524231304e-06	0.620679926646918	1.93939682006034	0.295	0.059	0.0727979219786004
3.73778465130555e-06	0.335660883058259	-1.05451244951851	0.417	0.676	0.075563054510793
3.86285516766773e-06	0.389794047115249	-1.30669276109912	0.065	0.284	0.0780914800695708
4.85861392755407e-06	0.353822824093666	-1.75691559152612	0.245	0.49	0.0982217391594331
5.30914398195852e-06	0.372231626463535	-2.17591803084175	0.137	0.373	0.107329654739273
6.46577753798297e-06	0.640005642544788	1.80288542433236	0.424	0.167	0.130712158707864
6.57710357014904e-06	0.346205388630272	-1.19225940770674	0.317	0.598	0.132962725774133
6.71183327633373e-06	0.353575962759204	-1.30212582141684	0.273	0.52	0.135686421514363
6.81095313438408e-06	0.39624770771618	-1.29381246983829	0.058	0.265	0.137690228564709
8.98442910405983e-06	0.665926082663281	0.834825707245953	0.835	0.706	0.181629218767674
1.23395481021836e-05	0.650585414021724	2.10374181047965	0.561	0.343	0.249456304433744
1.23766775060598e-05	0.351565806178587	-1.19423093510499	0.338	0.588	0.250206912462504
1.25910206006823e-05	0.369022429115531	-1.33103851333208	0.187	0.431	0.254540072463394
1.35498672030718e-05	0.613450416137678	2.41589146705247	0.288	0.069	0.273924115377299
1.68290226216759e-05	0.357843137254902	-1.24668661724533	0.288	0.549	0.340215521319801
1.71325932540271e-05	0.339434334885033	-0.66249161282217	0.871	0.99	0.346352505223412
1.98831138989198e-05	0.383798843278319	-0.94516266268161	0.122	0.353	0.401957030580562
2.06911756295349e-05	0.394167019325716	-1.28794270442535	0.086	0.294	0.418292806526678
2.21578749042106e-05	0.390675694738327	-1.24313360220211	0.101	0.314	0.447943599063521
2.33145519592105e-05	0.392721117223868	-1.40738939946219	0.094	0.304	0.4713269824074
2.36749888681718e-05	0.615143179573988	1.36454792095955	0.317	0.088	0.478613574958962
2.42839160062678e-05	0.387501763295246	-1.26944729992505	0.115	0.333	0.49092364598271
2.49254059012235e-05	0.62850895753985	1.42570584808846	0.403	0.167	0.503892005699135
2.61353029170694e-05	0.403018761461419	-1.36219944481854	0.065	0.255	0.528351283771476
2.82593045072718e-05	0.605303992100437	1.8738261132434	0.266	0.059	0.571290099919006
3.21457878595808e-05	0.353540696854281	-1.14845116319928	0.403	0.667	0.649859247369286
