p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
LOC107134468	7.74835678988922e-88	0.898645430525158	1.69575064117399	0.997	0.795	1.566407808644e-83
CHIC1	5.17997621286607e-40	0.766973226132021	0.95158234778993	0.969	0.921	1.047183991193e-35
ALB-1	1.63161201287056e-39	0.237018472948301	-1.13109373683232	0.788	0.948	3.29846684521912e-35
DNASE1L3	8.94619073311511e-23	0.317059410543982	-1.47114724388133	0.294	0.597	1.80856191860655e-18
SERPINA1	1.59412973667037e-22	0.318774593742558	-1.45127382684526	0.294	0.614	3.22269267565281e-18
RBP4	1.61909495009145e-21	0.321144665071499	-1.22400648421467	0.322	0.636	3.27316235110487e-17
APOA1	1.04148449684649e-19	0.323835092931744	-0.978858243692956	0.469	0.728	2.10546505882485e-15
SELENOP	4.89535216493091e-19	0.325589966320039	-0.987338961204355	0.5	0.736	9.89644393662432e-15
ALB	4.73672276549274e-17	0.344448476463718	-1.15023290091359	0.319	0.586	9.57575874272012e-13
TTR	6.85106238407851e-17	0.384226551602917	-1.65989774396038	0.049	0.277	1.38501077156531e-12
Sptssa	4.06335893069052e-16	0.335455813478788	-0.422884462501271	0.994	0.996	8.21448641428396e-12
mikado.WCK01-AAH20201022-F8-rsc00138G153	4.94666859459812e-16	0.623365614687638	1.27447211538884	0.393	0.159	1.00001852308396e-11
TCF4	3.73238081049471e-14	0.651539979361101	0.845714182318676	0.868	0.702	7.54538104649611e-10
Slc2a3	4.20086971269387e-14	0.631436898268374	0.951250841169924	0.518	0.27	8.49247821118193e-10
LOC114086011-13	9.47602685763969e-14	0.352443214678566	-1.00509320274917	0.604	0.738	1.91567358954044e-09
HSP90AA1	1.31476144322845e-13	0.645728201580804	0.793388034155841	0.77	0.549	2.65792173363063e-09
CXCL2;CXCL3;CXCL1-1	2.21274480472829e-13	0.612181486227504	0.849927873411016	0.387	0.161	4.47328489723871e-09
HSPA8	2.76528932186405e-13	0.642433915834118	0.856142557265781	0.724	0.532	5.59030889308037e-09
