p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
LOC107134468	1.07091364219146e-111	0.955084337349398	1.9912607251967	1	0.88	2.16495901905426e-107
CHIC1	7.63237823343363e-61	0.83544578313253	1.08009360406298	0.988	0.962	1.54296158367094e-56
CXCL2;CXCL3;CXCL1-1	1.61119002780914e-58	0.809057228915663	2.77325877317143	0.798	0.312	3.25718176021896e-54
IRF1	1.18598499923257e-57	0.793418674698795	2.68806250861356	0.732	0.22	2.39758727444857e-53
NFKB1	4.0009894228914e-48	0.773960843373494	1.91994193838961	0.753	0.29	8.08840021731725e-44
ALB-1	9.8836764798524e-47	0.20853313253012	-1.40419083243356	0.831	0.988	1.99808403716696e-42
FAS	3.07755579360162e-42	0.747671686746988	2.54336101214126	0.657	0.246	6.22158679234503e-38
CYP3A4;CYP3A7-CYP3A51P;CYP3A7-2	1.52877308710038e-40	0.22933734939759	-1.43987741601172	0.702	0.928	3.09056767288213e-36
SQSTM1	1.983503541513e-40	0.771168674698795	1.12056898466088	0.97	0.888	4.00985075952267e-36
ITPKC	4.7619661773819e-40	0.716493975903614	2.52101576289965	0.533	0.128	9.62679082419524e-36
ADAM9	8.98118150678497e-40	0.755831325301205	1.72995806919593	0.768	0.398	1.81563565341165e-35
PCK1	3.87288538483736e-38	0.249277108433735	-2.41060149847992	0.301	0.7	7.82942509398721e-34
SLC11A2	5.82950329369127e-38	0.730638554216868	1.72154127506911	0.651	0.232	1.17849238585263e-33
ZEB1	8.31959834893488e-38	0.74808734939759	2.06323262477791	0.75	0.41	1.68189000222068e-33
RBP4	4.38846233287059e-36	0.249069277108434	-1.58800108224369	0.521	0.834	8.87171545213118e-32
FTL	3.87272524578932e-35	0.257536144578313	-1.85982003452388	0.377	0.742	7.82910135688769e-31
NOS1AP	4.86131635983182e-34	0.743180722891566	1.38232845096485	0.873	0.592	9.82763715303601e-30
STK3	9.35173777773578e-34	0.720828313253012	1.59781217782435	0.663	0.276	1.89054730914707e-29
SSH1	1.11983324383549e-33	0.711692771084337	1.91660221538189	0.587	0.218	2.26385488573783e-29
