p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
LOC107134468	2.14295517502121e-54	0.923808211628548	1.87939916654307	1	0.817	4.33219818182287e-50
TNIP1	1.81059209162744e-23	0.74873046490572	2.01139026386318	0.647	0.188	3.66029297243404e-19
mikado.WCK01-AAH20201022-F8-rsc00038G1088	2.1967976086163e-23	0.75020666850372	2.25346173780403	0.647	0.204	4.44104604557871e-19
ALB-1	1.58966348853518e-18	0.264309333543282	-1.24968583432232	0.639	0.906	3.21366370842273e-14
CXCL8	9.61839481013314e-17	0.665216706688186	3.11330642674238	0.357	0.031	1.94445469481652e-12
RIPK2	9.43735281039534e-16	0.709650434987994	1.42057343694928	0.711	0.361	1.90785524414952e-11
TTR	2.48916253388375e-14	0.369424871078219	-1.7324539162887	0.045	0.304	5.0320909784994e-10
LOC114078893	1.41100851540184e-13	0.671200251938747	1.92991210163985	0.477	0.157	2.85249481473637e-09
CXCL2;CXCL3;CXCL1-1	5.90488459721906e-13	0.68622800456639	1.03891082158353	0.662	0.33	1.1937314701738e-08
CHIC1	7.73060140381527e-13	0.695095067511711	0.833003418168089	0.932	0.859	1.5628183797953e-08
mikado.WCK01-AAH20201022-F8-rsc00263G78	1.32177086054106e-12	0.666112270204307	1.58784141870266	0.489	0.188	2.6720919716698e-08
COL18A1	2.26719119005699e-12	0.332155650907373	-1.29933164122003	0.263	0.571	4.5833537098192e-08
IGFBP7	4.21204082742956e-12	0.322776837381412	-1.45434078404998	0.398	0.67	8.51506173673159e-08
GBP2;GBP3;GBP1	5.35479372170492e-12	0.640199976380742	2.45817703724749	0.346	0.079	1.08252509877987e-07
GBP6	1.15984085497685e-11	0.636263433452742	1.89973547816276	0.338	0.073	2.3447342724212e-07
LOC107134769-1	1.41269044801047e-11	0.646331141991103	1.64139339271322	0.402	0.12	2.85589500969796e-07
APOL6	1.92243312232331e-11	0.6244341219541	1.69378176174197	0.289	0.042	3.88639080008881e-07
SERPINA1	3.63423581692753e-11	0.347390072038736	-1.35985302753225	0.229	0.503	7.34697112750069e-07
CCL4L2;CCL4L1;CCL4	4.31582589950598e-11	0.62188521040822	1.86031512842913	0.286	0.042	8.72487363844128e-07
CALD1	4.68449079149775e-11	0.330423572019053	-1.11108258502759	0.391	0.691	9.47016658409186e-07
IRF1	5.19663433956812e-11	0.647738456087864	1.20471309019439	0.44	0.147	1.05055159808709e-06
SLC4A7	5.43014051223613e-11	0.676918080541668	1.06090510332825	0.835	0.686	1.09775720595366e-06
BIRC3	1.09569716794008e-10	0.657215683187025	1.55670988689899	0.534	0.236	2.21506139470767e-06
LOC114078880;LOC114080606	1.42005726576029e-10	0.62488682439082	1.91103482863161	0.312	0.068	2.87078776846099e-06
RBP4	7.6832529531404e-10	0.356591741132937	-1.32597813532534	0.252	0.503	1.55324641700686e-05
ALB	8.40936994537208e-10	0.359672085974098	-1.22080711710131	0.229	0.487	1.70003822815642e-05
PDE3A	9.08600183683504e-10	0.667844349092627	0.736239350666273	0.992	0.948	1.83682613133457e-05
VSTM4	9.88468901611816e-10	0.352133606266976	-1.14855794599875	0.293	0.571	1.99828873149845e-05
FRMD3	1.66064173196159e-09	0.359760658189978	-1.10417105422629	0.241	0.503	3.35715332533355e-05
mikado.WCK01-AAH20201022-F8-rsc00138G320	1.82734896916432e-09	0.609514624256978	2.1848591196848	0.267	0.052	3.69416867606259e-05
Il15ra	2.19310991718297e-09	0.615980396016219	1.29948737320403	0.305	0.073	4.43359100857709e-05
Gm4841;F830016B08Rik-1	2.3268620719747e-09	0.615340707790418	1.51455324321233	0.301	0.073	4.70398436470404e-05
HES1	2.34864258560222e-09	0.379246545683581	-1.86363167344197	0.139	0.361	4.74801585105345e-05
LOC114103596	4.43798496971275e-09	0.615134039286698	1.70553746157731	0.308	0.084	8.9718304147713e-05
SP100	4.44509680011118e-09	0.642404440420423	1.00247535206512	0.534	0.262	8.98620769110476e-05
mikado.WCK01-AAH20201022-F8-rsc00138G153	5.22451328549673e-09	0.62478841081762	1.34948048504697	0.372	0.136	0.000105618760579602
MAGI1	5.95338964650326e-09	0.378626540172421	-1.52466982807801	0.154	0.387	0.00012035372509371
COL4A1	6.7484867319763e-09	0.342400503877495	-0.709185912112815	0.748	0.911	0.000136427407773633
CXCL5;CXCL6	6.91822693443841e-09	0.628872574105421	0.983546976671986	0.41	0.152	0.000139858875706607
MTHFD2	7.04358102616108e-09	0.635289139078062	1.03967212723577	0.474	0.209	0.000142393034024872
IRGM	1.02689752098673e-08	0.602241861197496	1.79170392194969	0.252	0.052	0.000207597602842678
ADAMTS2	1.04880257852034e-08	0.387975829626422	-1.38966808171324	0.12	0.34	0.000212025929273672
IDO2	1.07467944291371e-08	0.62796716923198	3.37432055207907	0.402	0.178	0.000217257196179435
APOA1	1.17940023506359e-08	0.354505373381097	-1.03618098168313	0.436	0.644	0.000238427551520455
IFI16	1.64834438000914e-08	0.639599653584222	1.08411919948656	0.545	0.314	0.000333229299862647
NR1H4	1.86081280135266e-08	0.371589969688619	-1.15685615494424	0.229	0.471	0.000376181915921453
COL4A2	2.23191324002549e-08	0.351070739676416	-0.814041911079768	0.586	0.78	0.000451203580603554
TFPI2	3.59398958124016e-08	0.642985080502303	1.05290825185337	0.632	0.398	0.00072656093374351
SOX6	4.54461792603842e-08	0.360223201984018	-0.963424687310413	0.406	0.634	0.000918739959927927
KSR1	5.39120070504774e-08	0.379551627760501	-1.21561605061125	0.207	0.435	0.00108988513453245
SOD2	6.23210620837036e-08	0.610695587135378	1.73025458786476	0.327	0.115	0.00125988259108415
ASAP1	6.70015727844579e-08	0.353403141361257	-0.715358062696662	0.771	0.885	0.0013545037954106
NFKB1	8.31371614264591e-08	0.642128882415463	1.08704384561977	0.714	0.56	0.0016807008553973
IL6	1.52699525099243e-07	0.597163720820375	1.02859788870692	0.267	0.068	0.00308697359940631
LDB2	2.68016236201237e-07	0.400011809628784	-1.7294139715309	0.128	0.319	0.00541821623104421
HBQ1	3.48092861365653e-07	0.607349525646577	1.24618948790797	0.346	0.147	0.00703704528536803
PPM1D	3.97935057933777e-07	0.600007873085856	1.14521349828122	0.301	0.105	0.00804465513118924
FHL2	4.59402634777337e-07	0.380417667204661	-0.736089602538401	0.278	0.518	0.00928728366465864
IAH1	4.85721496313733e-07	0.615212770145258	0.957619007422195	0.432	0.215	0.00981934576947843
SPIDR	4.88213378374201e-07	0.634757705782782	0.707211789386129	0.793	0.639	0.00986972165721285
mikado.WCK01-AAH20201022-F8-rsc02759G1	5.24903156826194e-07	0.596957052316656	1.99143665115946	0.282	0.099	0.0106114422183983
DCBLD1	5.61677629543264e-07	0.383232295398181	-1.13139770038207	0.271	0.466	0.0113548749588466
CNTN3	6.66205525186769e-07	0.393477148368303	-1.05789432928641	0.184	0.393	0.0134680108971757
BST1	7.07658875035333e-07	0.402993740896745	-1.06514303617635	0.132	0.325	0.0143060318177143
MICALL2-1	8.64577110579441e-07	0.407432193048065	-1.11606875372516	0.117	0.298	0.017478290867474
CXCL2;CXCL3;CXCL1	9.12694083454825e-07	0.617220407038539	0.843591091524992	0.474	0.251	0.0184510235911227
RBMS1	1.25881340989541e-06	0.631913553517301	0.495344926725643	0.883	0.785	0.0254481718944455
ALDH3A2	1.63443900594448e-06	0.601139629177656	1.826411386053	0.338	0.152	0.0330418189441736
MAMLD1	1.75498348051985e-06	0.607900641656497	0.99283725538326	0.406	0.204	0.0354787460421893
Adam3	1.81775302527291e-06	0.591593512577255	2.42443951978742	0.274	0.099	0.0367476951589172
FBXO42	1.91474948135598e-06	0.612181632090698	1.1027922132726	0.459	0.262	0.0387085755150925
TF	2.33588062795984e-06	0.387227886470102	-1.10182842109988	0.301	0.508	0.047222162774836
AGAP1	2.61266747421629e-06	0.398260048025824	-0.925401144949927	0.199	0.398	0.0528176856587565
HHIP	2.69938342451801e-06	0.392552060780223	-1.07784220222105	0.248	0.445	0.0545707353100561
GGT5	2.77437593207585e-06	0.405936306735425	-0.928673868604751	0.15	0.335	0.0560867838428453
FARP1	3.4011044317618e-06	0.396321300633783	-1.01104102019664	0.226	0.424	0.0687567271924966
FGB	3.4336976637989e-06	0.407904578199425	-1.39504072524892	0.15	0.319	0.0694156319713586
