p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
LOC107134468	3.1369664733032e-15	0.962826086956522	2.12356936575057	1	0.74	6.34169142242976e-11
GBP2;GBP3;GBP1	9.54823753123907e-14	0.902608695652174	4.15943262762467	0.848	0.08	1.93027169931529e-09
CXCL8	4.41208157093453e-11	0.833478260869565	3.71424551766612	0.696	0.04	8.91946410380124e-07
WARS1	2.81648276337394e-09	0.808695652173913	2.86249647625007	0.696	0.12	5.69380155443677e-05
IRGM	1.09282959812999e-08	0.803478260869565	2.22286396735826	0.739	0.14	0.00022092643155796
NFKB1	1.37649136674556e-08	0.830869565217391	1.61970529032365	0.935	0.62	0.000278271494701282
CXCL2;CXCL3;CXCL1-1	2.03812496089551e-08	0.781521739130435	2.96293790577846	0.63	0.08	0.000412027342094635
ITGAV	2.59872933581951e-08	0.805217391304348	2.38964241348371	0.761	0.26	0.000525359122529271
LOC114103596	4.56778401098722e-08	0.80695652173913	2.21184817160715	0.783	0.34	0.000923423215661177
BATF2	7.12963648160964e-08	0.784130434782609	2.45453559004393	0.674	0.18	0.0014413273111222
BIRC3	1.42849543633113e-07	0.804347826086957	1.70215082357105	0.891	0.44	0.00288784637408701
TXNRD1	1.49574333420028e-07	0.780869565217391	2.28218191609461	0.696	0.22	0.00302379472441928
IKBKE	2.1959021851125e-07	0.74304347826087	2.14709429306143	0.543	0.06	0.00443923585742342
CD44	2.32668272715113e-07	0.795869565217391	2.08006438892918	0.804	0.44	0.00470362180120873
CSF1	8.97933686085675e-07	0.743478260869565	2.55810304065521	0.565	0.12	0.018152627397908
PDGFD	1.13179149945594e-06	0.233913043478261	-2.28834549436298	0.239	0.7	0.0228802969530013
ADGRL3	1.18527536607108e-06	0.246086956521739	-2.03170885972734	0.174	0.64	0.023961526800493
DRAM1	1.36909091351873e-06	0.726086956521739	2.03102689562062	0.522	0.06	0.0276775419076946
CHIC1	1.83253098510786e-06	0.781304347826087	0.839096391249097	1	1	0.0370464463949404
ALPK1	2.2017563409102e-06	0.737173913043478	2.07758978276347	0.587	0.14	0.0445107061878406
LURAP1L	3.90636296609329e-06	0.31	-2.67807190511264	0	0.38	0.078971033722542
